,const,density,dz,zenith,algae
488,1.0,800,0.1,60,15000
489,1.0,800,0.1,60,20000
490,1.0,800,0.1,70,0
491,1.0,800,0.1,70,5000
492,1.0,800,0.1,70,7000
493,1.0,800,0.1,70,11000
494,1.0,800,0.1,70,13000
495,1.0,800,0.1,70,15000
496,1.0,800,0.1,70,20000
497,1.0,800,0.1,80,0
498,1.0,800,0.1,80,5000
499,1.0,800,0.1,80,7000
500,1.0,800,0.1,80,11000
501,1.0,800,0.1,80,13000
502,1.0,800,0.1,80,15000
503,1.0,800,0.1,80,20000
504,1.0,850,0.1,30,0
505,1.0,850,0.1,30,5000
506,1.0,850,0.1,30,7000
507,1.0,850,0.1,30,11000
508,1.0,850,0.1,30,13000
509,1.0,850,0.1,30,15000
510,1.0,850,0.1,30,20000
511,1.0,850,0.1,40,0
512,1.0,850,0.1,40,5000
513,1.0,850,0.1,40,7000
514,1.0,850,0.1,40,11000
515,1.0,850,0.1,40,13000
516,1.0,850,0.1,40,15000
517,1.0,850,0.1,40,20000
518,1.0,850,0.1,50,0
519,1.0,850,0.1,50,5000
520,1.0,850,0.1,50,7000
521,1.0,850,0.1,50,11000
522,1.0,850,0.1,50,13000
523,1.0,850,0.1,50,15000
524,1.0,850,0.1,50,20000
525,1.0,850,0.1,60,0
526,1.0,850,0.1,60,5000
527,1.0,850,0.1,60,7000
528,1.0,850,0.1,60,11000
529,1.0,850,0.1,60,13000
530,1.0,850,0.1,60,15000
531,1.0,850,0.1,60,20000
532,1.0,850,0.1,70,0
533,1.0,850,0.1,70,5000
534,1.0,850,0.1,70,7000
535,1.0,850,0.1,70,11000
536,1.0,850,0.1,70,13000
537,1.0,850,0.1,70,15000
538,1.0,850,0.1,70,20000
539,1.0,850,0.1,80,0
540,1.0,850,0.1,80,5000
541,1.0,850,0.1,80,7000
542,1.0,850,0.1,80,11000
543,1.0,850,0.1,80,13000
544,1.0,850,0.1,80,15000
545,1.0,850,0.1,80,20000
546,1.0,900,0.1,30,0
547,1.0,900,0.1,30,5000
548,1.0,900,0.1,30,7000
549,1.0,900,0.1,30,11000
550,1.0,900,0.1,30,13000
551,1.0,900,0.1,30,15000
552,1.0,900,0.1,30,20000
553,1.0,900,0.1,40,0
554,1.0,900,0.1,40,5000
555,1.0,900,0.1,40,7000
556,1.0,900,0.1,40,11000
557,1.0,900,0.1,40,13000
558,1.0,900,0.1,40,15000
559,1.0,900,0.1,40,20000
560,1.0,900,0.1,50,0
561,1.0,900,0.1,50,5000
