dz,density,zenith,algae,BBA,abs
0.05,850,40,7000,0.1404944175403947,124.86474935891583
0.05,850,40,11000,0.1336686499311933,136.95255127487277
0.05,850,40,13000,0.13053753227639797,142.65115703476752
0.05,850,40,15000,0.12757190728860707,148.15364105154597
0.05,850,40,20000,0.12081311849908213,161.12402768552394
0.05,850,50,0,0.17546865563842112,86.66156897950496
0.05,850,50,5000,0.16339551713817643,103.23673898303375
0.05,850,50,7000,0.15907357334528824,109.34797260893936
0.05,850,50,11000,0.1511688450807072,120.82066339442068
0.05,850,50,13000,0.1475471994083911,126.22310954402138
0.05,850,50,15000,0.14412310120346922,131.4271260617898
0.05,850,50,20000,0.13633579171550542,143.66233673721533
0.05,850,60,0,0.20533296270956933,68.36997664016961
0.05,850,60,5000,0.19060588708603846,83.55443233157432
0.05,850,60,7000,0.1853561043571898,89.12907259591219
0.05,850,60,11000,0.17578841213997498,99.55604511311623
0.05,850,60,13000,0.17142072932428662,104.44753797008129
0.05,850,60,15000,0.16730121312876323,109.14735843523727
0.05,850,60,20000,0.1579709357406134,120.14776136829359
0.05,850,70,0,0.24282720653804113,47.910744436928894
0.05,850,70,5000,0.22372271873379868,60.68773746284279
0.05,850,70,7000,0.21697771803565535,65.33773301265147
0.05,850,70,11000,0.20478288787149232,73.9704881852236
0.05,850,70,13000,0.19926098847664483,77.98929813072047
0.05,850,70,15000,0.19408064824402776,81.8307469292588
0.05,850,70,20000,0.1824544320128909,90.74119683534535
0.05,850,80,0,0.2823223091671966,25.337676175399224
0.05,850,80,5000,0.2548384781306168,33.87884109233572
0.05,850,80,7000,0.2454381765260056,36.8984245515378
0.05,850,80,11000,0.22887623110773936,42.369228544642446
0.05,850,80,13000,0.22157020662122917,44.85329332677687
0.05,850,80,15000,0.2148313832501345,47.18871602520029
0.05,850,80,20000,0.20013377198632393,52.452852836161306
0.05,900,30,0,0.09188546218770587,113.37805586615185
0.05,900,30,5000,0.08563217576554603,129.45185432321128
0.05,900,30,7000,0.0833933544714393,135.46964056805214
0.05,900,30,11000,0.07929704486256403,146.91819393676892
0.05,900,30,13000,0.07742036437540714,152.37711415972637
0.05,900,30,15000,0.0756463730966937,157.67816917910432
0.05,900,30,20000,0.07161279834235446,170.31632353909416
0.05,900,40,0,0.1000473192093785,101.98455444009916
0.05,900,40,5000,0.09313852069690375,117.63098884307169
0.05,900,40,7000,0.09066929777993406,123.48257995326661
0.05,900,40,11000,0.08616017309813488,134.59625568048767
0.05,900,40,13000,0.08409751080799212,139.8904134203988
0.05,900,40,15000,0.08214992511418283,145.0270705404791
0.05,900,40,20000,0.07773012982576061,157.2551280062869
0.05,900,50,0,0.11256495847763387,87.31399780945175
0.05,900,50,5000,0.10455702977302914,102.29992051026518
0.05,900,50,7000,0.101704024919834,107.89034850414846
0.05,900,50,11000,0.09650885311365297,118.48291539297794
0.05,900,50,13000,0.09413917348288492,123.51695059665134
0.05,900,50,15000,0.0919058217471835,128.39384978813084
0.05,900,50,20000,0.08685405715499704,139.97104494417712
0.05,900,60,0,0.13310957165933848,68.787634229937
0.05,900,60,5000,0.12314426829122792,82.72703531036176
0.05,900,60,7000,0.11961551120795981,87.89891212200288
0.05,900,60,11000,0.1132227282495293,97.65372210344063
0.05,900,60,13000,0.11032203595395729,102.26817937040607
0.05,900,60,15000,0.10759762920937016,106.72487066310035
0.05,900,60,20000,0.10147140642136908,117.24806035070759
0.05,900,70,0,0.1642964882173392,48.201919947862265
0.05,900,70,5000,0.15037361274562397,60.36003122744637
0.05,900,70,7000,0.14551022541119876,64.81586946945211
0.05,900,70,11000,0.1367980152437103,73.1348992141577
0.05,900,70,13000,0.13288975363493646,77.0299966540667
0.05,900,70,15000,0.1292462344198972,80.76663685274208
0.05,900,70,20000,0.12115626623606272,89.48768407945433
0.05,900,80,0,0.21221775622455682,25.66257729791368
0.05,900,80,5000,0.1882050943153099,34.373475945082845
0.05,900,80,7000,0.18017977088901188,37.445538831424706
0.05,900,80,11000,0.16630355234934938,43.00360641144683
0.05,900,80,13000,0.16029697023367767,45.52499609579229
0.05,900,80,15000,0.15482421401432012,47.89443445135535
0.05,900,80,20000,0.1431294988359491,53.23313613034016
0.1,400,30,0,0.20025669837510265,87.46903193927842
0.1,400,30,5000,0.19345366829717417,97.76242064017565
0.1,400,30,7000,0.19087896546166466,101.69319257925473
0.1,400,30,11000,0.18595982184231305,109.26353587327125
0.1,400,30,13000,0.1836076957650518,112.9145439929621
0.1,400,30,15000,0.18133410187006294,116.45081689769451
0.1,400,30,20000,0.1758967749467227,125.0343803837372
0.1,400,40,0,0.21800372616989258,80.01509522484567
0.1,400,40,5000,0.21053989570564663,89.94302914898557
0.1,400,40,7000,0.2077161292905604,93.73319073119171
0.1,400,40,11000,0.2023229939590519,101.03044240109494
0.1,400,40,13000,0.19974579140295973,104.54696518438487
0.1,400,40,15000,0.1972435846769405,107.98082199680155
0.1,400,40,20000,0.19129643381173192,116.22671197598567
0.1,400,50,0,0.24180101220084807,70.07133150314608
0.1,400,50,5000,0.23337846456203495,79.38841124137979
0.1,400,50,7000,0.23019423322875543,82.94369353627611
0.1,400,50,11000,0.22411632386685615,89.78578137019845
0.1,400,50,13000,0.2212136954929598,93.08143464836662
0.1,400,50,15000,0.218396716777595,96.29855738547899
0.1,400,50,20000,0.21170650022229512,104.01906378548536
0.1,400,60,0,0.27285550848109913,56.639662991476825
0.1,400,60,5000,0.26305041313134747,64.97189074577416
0.1,400,60,7000,0.25934888902757713,68.14839525038867
0.1,400,60,11000,0.25229237701945556,74.25640965694613
0.1,400,60,13000,0.24892667565618765,77.19586801792235
0.1,400,60,15000,0.24566306388323958,80.06352066816684
0.1,400,60,20000,0.2379235538065141,86.93780336651061
0.1,400,70,0,0.30753668273972684,40.780895431945176
0.1,400,70,5000,0.2956230241868378,47.57208966550769
0.1,400,70,7000,0.29114138434906683,50.15456931452807
0.1,400,70,11000,0.2826233055549252,55.109337975658306
0.1,400,70,13000,0.2785728932984563,57.48828658914614
0.1,400,70,15000,0.27465332591166297,59.805463423474905
0.1,400,70,20000,0.26539098364523533,65.34466268539828
0.1,400,80,0,0.34079370770020645,21.632134125050406
0.1,400,80,5000,0.32458295018918426,26.048951888016987
0.1,400,80,7000,0.31856613711016385,27.708566415764025
0.1,400,80,11000,0.30725832531348224,30.860377382462126
0.1,400,80,13000,0.3019422921441458,32.35797719687531
0.1,400,80,15000,0.2968365343882497,33.80657833385697
0.1,400,80,20000,0.2849264310611134,37.227710546787016
0.1,500,30,0,0.2216638636729724,95.35339698644812
0.1,500,30,5000,0.21205712114801226,108.94021611260104
0.1,500,30,7000,0.20847516701714108,114.05543678466877
0.1,500,30,11000,0.20171110194916222,123.8004621569446
0.1,500,30,13000,0.19851549711182184,128.44620546619336
0.1,500,30,15000,0.19544657003383922,132.93134980520423
0.1,500,30,20000,0.1881920509955613,143.67862230163837
0.1,500,40,0,0.23945926822050162,86.81252272431989
0.1,500,40,5000,0.22901880004471054,99.84048485541969
0.1,500,40,7000,0.22512749430613432,104.74478325833827
0.1,500,40,11000,0.217782136163521,114.08585839946502
0.1,500,40,13000,0.21431200107895113,118.5409056178594
0.1,500,40,15000,0.2109790039749172,122.84433251949363
0.1,500,40,20000,0.2031092550476396,133.1397686693191
0.1,500,50,0,0.26286224657442614,75.5029727525255
0.1,500,50,5000,0.25123678945512845,87.6298467822115
0.1,500,50,7000,0.24690715213022182,92.1937836183975
0.1,500,50,11000,0.23873982892773,100.88420323536698
0.1,500,50,13000,0.2348840194470858,105.02761461784758
0.1,500,50,15000,0.2311820520496564,109.02963415936384
0.1,500,50,20000,0.22244952213982516,118.59653841825906
0.1,500,60,0,0.29271665976873545,60.49787653202686
0.1,500,60,5000,0.27941875445224373,71.2269678540321
0.1,500,60,7000,0.274474317498952,75.2619180881801
0.1,500,60,11000,0.2651603059399659,82.93964505642816
0.1,500,60,13000,0.2607694359075721,86.59739434975734
0.1,500,60,15000,0.2565571979544987,90.1293477692285
0.1,500,60,20000,0.24663978718274948,98.56022531470916
0.1,500,70,0,0.3252588956130419,43.03574572708268
0.1,500,70,5000,0.3094311977036063,51.664847927165674
0.1,500,70,7000,0.3035702532076583,54.90144781569391
0.1,500,70,11000,0.2925683204524505,61.0453351655313
0.1,500,70,13000,0.2874001586778649,63.96497093961881
0.1,500,70,15000,0.2824524964166147,66.78077250135426
0.1,500,70,20000,0.27085680627315445,73.47576785974037
0.1,500,80,0,0.35598301697316287,22.620213193393123
0.1,500,80,5000,0.3348998598270928,28.130540508812143
0.1,500,80,7000,0.3272185218496022,30.16775482145272
0.1,500,80,11000,0.3129939595294912,33.98745319650213
0.1,500,80,13000,0.30640316028711545,35.77984096832072
0.1,500,80,15000,0.300145817081611,37.49575401939708
0.1,500,80,20000,0.28572312590995363,41.50960207108275
0.1,600,30,0,0.23672787652780772,101.60515309422925
0.1,600,30,5000,0.2242462358337657,118.49365758365511
0.1,600,30,7000,0.21966083396013172,124.7637210460822
0.1,600,30,11000,0.21110089717946928,136.58309209800262
0.1,600,30,13000,0.20710095154457067,142.16273302000567
0.1,600,30,15000,0.2032690774217015,147.54897762740782
0.1,600,30,20000,0.1943671120115893,160.22861587282438
0.1,600,40,0,0.25431105607513854,92.14599610258784
0.1,600,40,5000,0.24083901276409883,108.2685889026422
0.1,600,40,7000,0.23589180788536634,114.2547459141318
0.1,600,40,11000,0.22666003542604796,125.53847033402835
0.1,600,40,13000,0.2223464098124851,130.8680998249492
0.1,600,40,15000,0.21821670455674655,136.00907788824745
0.1,600,40,20000,0.20861602037963642,148.13493116903183
0.1,600,50,0,0.277160515668559,79.71148926346216
