,dz,density,zenith,BBA,delA
315,0.18,600,60,0.6168586462277643,0.05454791999183273
316,0.18,600,70,0.6282139677763633,0.0659032415404317
317,0.18,600,80,0.6330199808366666,0.07070925460073496
318,0.18,700,30,0.5334947672733749,-0.02881595896255673
319,0.18,700,40,0.5426488841091637,-0.019661842126767914
320,0.18,700,50,0.5546662295247514,-0.007644496711180171
321,0.18,700,60,0.5673143928609247,0.005003666624993075
322,0.18,700,70,0.5803907588138485,0.018080032577916905
323,0.18,700,80,0.5869863663256355,0.02467564008970391
324,0.18,800,30,0.4409974261000818,-0.12131330013584979
325,0.18,800,40,0.4521140576730626,-0.11019666856286897
326,0.18,800,50,0.4667434999580182,-0.09556722627791336
327,0.18,800,60,0.48230200015915675,-0.08000872607677484
328,0.18,800,70,0.4988715180306629,-0.06343920820526872
329,0.18,800,80,0.509533161304416,-0.05277756493151564
330,0.18,900,30,0.1654971213322815,-0.3968136049036501
331,0.18,900,40,0.17973565827306617,-0.38257506796286544
332,0.18,900,50,0.2001415866853705,-0.36216913955056107
333,0.18,900,60,0.2241885065192643,-0.3381222197166673
334,0.18,900,70,0.2528171994160826,-0.309493526819849
335,0.18,900,80,0.27861369923649704,-0.28369702699943455
336,0.2,300,30,0.6922006053456565,0.17071489233524528
337,0.2,300,40,0.6985611432005294,0.17707543019011818
338,0.2,300,50,0.7068537674432039,0.1853680544327927
339,0.2,300,60,0.7154686360684673,0.1939829230580561
340,0.2,300,70,0.7240179770488543,0.20253226403844304
341,0.2,300,80,0.7266453152030117,0.20515960219260043
342,0.2,400,30,0.6621790010554288,0.14069328804501757
343,0.2,400,40,0.6689835877842267,0.14749787477381548
344,0.2,400,50,0.6778681674598657,0.15638245444945442
345,0.2,400,60,0.6870935961192736,0.16560788310886232
346,0.2,400,70,0.6962548885843791,0.17476917557396787
347,0.2,400,80,0.6991081840819574,0.17762247107154616
348,0.2,500,30,0.6302637874273039,0.10877807441689269
349,0.2,500,40,0.6375658694452869,0.11608015643487568
350,0.2,500,50,0.8981861659560384,0.37670045294562715
351,0.2,500,60,0.6570399318890164,0.1355542188786052
352,0.2,500,70,0.666953647389595,0.1454679343791837
353,0.2,500,80,0.6703023925927132,0.14881667958230194
354,0.2,600,30,0.5924356857958005,0.07094997278538928
355,0.2,600,40,0.6003625756418083,0.07887686263139704
356,0.2,600,50,0.6107430510949866,0.08925733808457537
357,0.2,600,60,0.6215761043799652,0.100090391369554
358,0.2,600,70,0.6325019373278532,0.11101622431744196
359,0.2,600,80,0.6367184081253342,0.11523269511492296
360,0.2,700,30,0.5408182094721972,0.01933249646178592
361,0.2,700,40,0.5496778842335456,0.028192171223134332
362,0.2,700,50,0.5613044896621202,0.039818776651708965
363,0.2,700,60,0.5735076304572017,0.05202191744679041
364,0.2,700,70,0.5860234327618137,0.06453771975140243
365,0.2,700,80,0.5918525213492419,0.07036680833883069
366,0.2,800,30,0.4513814647367804,-0.07010424827363082
367,0.2,800,40,0.4620771632831634,-0.05940854972724785
368,0.2,800,50,0.47615006181234326,-0.04533565119806798
369,0.2,800,60,0.49107839609531595,-0.030407316915095295
370,0.2,800,70,0.5068596268367723,-0.01462608617363892
371,0.2,800,80,0.5164528769449359,-0.005032836065475332
372,0.2,900,30,0.17365868764108805,-0.3478270253693232
373,0.2,900,40,0.18808148449581272,-0.3334042285145985
374,0.2,900,50,0.20851535146668043,-0.3129703615437308
375,0.2,900,60,0.2322199483551001,-0.2892657646553112
376,0.2,900,70,0.2599492487074284,-0.26153646430298283
377,0.2,900,80,0.28454411084542863,-0.2369416021649826
378,0.25,300,30,0.9357475380844044,0.46093412972882053
379,0.25,300,40,0.7042835509731153,0.22947014261753151
380,0.25,300,50,0.7122573406371083,0.2374439322815245
381,0.25,300,60,0.7205068742782752,0.24569346592269137
382,0.25,300,70,0.7285926481016972,0.2537792397461134
383,0.25,300,80,0.7305824583545578,0.255769049998974
384,0.25,400,30,0.6688746023041117,0.19406119394852783
385,0.25,400,40,0.9273019648128573,0.4524885564572735
386,0.25,400,50,0.6839346259575151,0.20912121760193125
387,0.25,400,60,0.6927479333588122,0.2179345250032284
388,0.25,400,70,0.7013858408833202,0.2265724325277364
389,0.25,400,80,0.7035186950001057,0.22870528664452183
390,0.25,500,30,0.6381506497412152,0.16333724138563133
391,0.25,500,40,0.6451344048691163,0.1703209965135325
